Part,Description,Link,Quantity,Cost Per Unit (USD),# Units Ordered,Total Cost
M4 * 14mm Countersunk Screw,,https://www.mcmaster.com/91294A193/,4,7.27,1,7.27
M4& 8mm Socket Head Cap Screw,,https://www.mcmaster.com/91290A140/,6,13.24,1,13.24
M4 * 12mm Socket Head Cap Screw,,https://www.mcmaster.com/91290A148/,6,12.3,1,12.3
M4 * 35mm Socket Head Cap Screw,,https://www.mcmaster.com/91290A173/,4,3.1,1,3.1
M4 * 25mm Socket Head Cap Screw,,https://www.mcmaster.com/91290A176/,6,10.41,1,10.41
M4 * 5mm Socket Head Cap Screw,,https://www.mcmaster.com/91290A138/,2,19.63,1,19.63
M4 * 20mm Socket Head Cap Screw,,https://www.mcmaster.com/91290A168/,2,14.47,1,14.47
M4 * 8mm Countersunk Screw,,https://www.mcmaster.com/91294A188/,4,6.25,1,6.25
M4 * 8mm Socket Head Button Screw,,https://www.mcmaster.com/91239A140/,4,14.07,1,14.07
M4 * 5mm Socket Head Button Screw,,https://www.mcmaster.com/91239A136/,1,4.81,1,4.81
"GoBilda 1516 Series REX standoff, 40mm",,https://www.gobilda.com/1516-series-8mm-rex-standoff-m4-x-0-7mm-threads-40mm-length-4-pack/,1,5.29,1,5.29
"GoBilda 2106 Series REX Shaft, 24mm L",,https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-24mm-length/,1,3.69,1,3.69
"GoBilda 1500 Series Plastic Spacer (8mm ID, 1mm L)",,https://www.gobilda.com/1500-series-plastic-spacer-8mm-id-x-10mm-od-1mm-thickness-12-pack/,2,2.69,1,2.69
"GoBilda 5000 Series 12V DC Motor, 1/8"" D Shaft",,https://www.gobilda.com/5000-series-12vdc-motor/,1,19.99,1,19.99
"GoBilda 1106 Series Square Beam (2 Hole, 16mm L)",,https://www.gobilda.com/1106-series-square-beam-2-hole-16mm-length/,4,2.59,1,2.59
"GoBilda 1502 Series 4mm ID Spacer (6mm OD, 16mm L)",,https://www.gobilda.com/1502-series-4mm-id-spacer-6mm-od-16mm-length-4-pack/,6,2.69,2,5.38
"Gobilda 1611 Series Flanged Bearing (8mm ID, 14mm OD)",,https://www.gobilda.com/1611-series-flanged-ball-bearing-8mm-id-x-14mm-od-5mm-thickness-2-pack/,3,3.99,2,7.98
Gobilda 2mm Pitch GT2 Pinion Timing Pulley,,https://www.gobilda.com/2mm-pitch-gt2-pinion-timing-pulley-1-8-bore-20-tooth/,1,7.99,1,7.99
Rev 8mm ID * 12mm OD *3.5mm WD Flanged Bearing,,https://www.revrobotics.com/rev-49-1559-pk10/,4,18.5,1,18.5
SensOrange Encoder,,https://sensorangerobotics.com/product/encoder/,1,27.67,1,27.67
SWYFT Robotics Speed Servo (Continous Rotation),,https://swyftrobotics.com/products/swyft-servos?variant=51735705321766,1,49.99,1,49.99
"122T GT2 2mm Timing Belt, 6mm WD",,https://shop.sdp-si.com/a-6r51m122060.html,1,8.5,1,8.5
LILY BEARING JHA17XL0 X-Contact Bearing,,https://www.lily-bearing.com/products/jha17xl0/,1,47.84,1,47.84
"6"" * 6"" Aluminum Sheet, T6-6061, 1/8"" Thick",For Top Plates and Encoder Plates,https://www.mcmaster.com/89015K235/,1,10.96,1,10.96
"8"" * 8"" Aluminum Sheet, T6-6061, 1/4"" Thick",For Bottom Plate,https://www.mcmaster.com/9246K11/,1,31.3,1,31.3
Fiberon PA6-CF20,"3D Print used for almost all pulleys and gears, swerve forks, and some spacers",https://shop.polymaker.com/products/fiberon-pa6-cf20,1,36,1,36
Bambu Lab TPU 95A,TPU for swerve tread,https://us.store.bambulab.com/products/tpu-95a-hf,1,33.59,1,33.59
TOTAL COST,,,,,,425.5
,,,,,,
,,,,,,
,,,,,,
,,,  ,,,
