Part,Description,Link,Quantity,Cost Per Unit (USD),# Units Ordered,Total Cost
M4 * 14mm Countersunk Screw,,https://www.mcmaster.com/91294A193/,4,7.27,1,7.27
M4 * 12mm Socket Head Cap Screw,,https://www.mcmaster.com/91290A148/,6,12.3,1,12.3
M4 * 35mm Socket Head Cap Screw,,https://www.mcmaster.com/91290A173/,4,3.1,1,3.1
M4 * 25mm Socket Head Cap Screw,,https://www.mcmaster.com/91290A176/,6,10.41,1,10.41
M4 * 5mm Socket Head Cap Screw,,https://www.mcmaster.com/91290A138/,2,19.63,1,19.63
M4 * 8mm Countersunk Screw,,https://www.mcmaster.com/91294A188/,4,6.25,1,6.25
M4 * 8mm Socket Head Button Screw,,https://www.mcmaster.com/91239A140/,4,14.07,1,14.07
M4 * 5mm Socket Head Button Screw,,https://www.mcmaster.com/91239A136/,1,4.81,1,4.81
"GoBilda 1516 Series REX standoff, 40mm",,https://www.gobilda.com/1516-series-8mm-rex-standoff-m4-x-0-7mm-threads-40mm-length-4-pack/,1,5.29,1,5.29
"GoBilda 2106 Series REX Shaft, 24mm L",,https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-24mm-length/,1,3.69,1,3.69
"GoBilda 1500 Series Plastic Spacer (8mm ID, 1mm L)",,https://www.gobilda.com/1500-series-plastic-spacer-8mm-id-x-10mm-od-1mm-thickness-12-pack/,2,2.69,1,2.69
"GoBilda 1502 Series 4mm ID Spacer (6mm OD, 16mm L)",,https://www.gobilda.com/1502-series-4mm-id-spacer-6mm-od-16mm-length-4-pack/,6,2.69,2,5.38
Gobilda 2mm Pitch GT2 Pinion Timing Pulley,,https://www.gobilda.com/2mm-pitch-gt2-pinion-timing-pulley-1-8-bore-20-tooth/,1,7.99,1,7.99
Rev 8mm ID * 12mm OD *3.5mm WD Flanged Bearing,,https://www.revrobotics.com/rev-49-1559-pk10/,4,18.5,1,18.5
"122T GT2 2mm Timing Belt, 6mm WD",,https://shop.sdp-si.com/a-6r51m122060.html,1,8.5,1,8.5
"WCP-1870 X Contact Bearing (1.75""ID, 2.125"" OD)",,https://wcproducts.com/collections/cnc-hardware/products/specialty-bearings,1,55,1,55
TOTAL COST,,,,,,184.88
,,,,,,
,,,,,,
,,,,,,
,,,  ,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,  ,,
